fen,target
8/8/8/4K3/8/8/1Q1p4/4k3 w - - 0 1,checkmate
8/8/8/2k5/P3P3/8/8/K7 w - - 0 1,checkmate
8/8/8/1k6/8/K7/6P1/8 w - - 0 1,checkmate
8/8/5k2/8/p7/8/1PK5/8 w - - 0 1,checkmate
1r6/8/7P/K5R1/2k5/8/6P1/8 w - - 0 1,checkmate
8/6K1/5P2/4k2b/2B5/8/8/8 w - - 0 1,checkmate
8/2k5/8/8/6P1/8/8/4K3 w - - 0 1,checkmate
8/1K5k/4p3/8/4P3/8/8/8 w - - 0 1,checkmate
7R/8/8/PK6/1P6/6k1/7p/r7 w - - 0 1,checkmate
7Q/8/8/3K4/8/8/2p5/3k4 w - - 0 1,checkmate
1Q6/8/8/8/K7/4k3/8/6q1 w - - 0 1,checkmate
5K2/4P3/2Bk4/7b/8/8/8/8 w - - 0 1,checkmate
4K3/6R1/2pk4/8/8/8/8/8 w - - 0 1,checkmate
3B4/3P4/8/4K3/8/8/4k3/4b3 w - - 0 1,checkmate
2k5/2P5/1K6/4P3/8/8/8/8 w - - 0 1,checkmate
2k3r1/2p4R/8/1KPP4/8/8/8/8 w - - 0 1,checkmate
8/8/8/1p6/5R2/p7/8/1k1K4 w - - 0 1,checkmate
K7/8/p7/1k6/5P2/8/8/8 w - - 0 1,draw
8/1p6/8/P7/5K2/k7/8/8 w - - 0 1,draw
8/8/8/8/4p2p/2N1k3/2K5/8 w - - 0 1,draw
8/8/3k4/1p5K/5P2/8/8/8 w - - 0 1,draw
8/8/4k3/8/3p1p2/5K2/8/8 w - - 0 1,draw
8/8/1p6/4k3/2P5/8/8/4K3 w - - 0 1,draw
6R1/8/8/4K3/8/4kp2/6p1/8 w - - 0 1,draw
8/3k2p1/8/5P2/8/8/8/1K6 w - - 0 1,draw
8/7p/8/K7/3k4/8/2P5/8 w - - 0 1,draw
6k1/8/5p2/6pR/8/6P1/r7/6K1 w - - 0 1,draw
8/8/8/8/7B/2b2K2/4p3/5k2 w - - 0 1,draw
3k4/7p/8/2P5/K7/8/8/8 w - - 0 1,draw
rk6/8/p1K5/8/8/8/8/R7 w - - 0 1,checkmate
k7/8/K1P5/2P5/8/8/8/8 w - - 0 1,checkmate
k7/8/1p6/8/1P6/5K2/8/8 w - - 0 1,checkmate
k5r1/1R6/1KP5/8/8/8/8/8 w - - 0 1,checkmate
Q7/K7/8/8/8/8/4pk2/8 w - - 0 1,checkmate
Q7/8/8/8/8/8/K2kp3/8 w - - 0 1,checkmate
K7/4k3/8/8/8/8/1p1p4/7R w - - 0 1,checkmate
K7/1R6/5k2/8/4p3/8/8/8 w - - 0 1,checkmate
K1k5/P7/8/8/7r/8/6R1/8 w - - 0 1,checkmate
8/p7/8/8/5P2/8/8/2k2K2 w - - 0 1,checkmate
8/p7/2K5/8/8/8/P4k2/8 w - - 0 1,checkmate
8/k7/8/3P4/K7/8/8/8 w - - 0 1,checkmate
5k2/R7/4K3/6r1/8/8/8/8 w - - 0 1,checkmate
8/3R4/4Pk2/5P2/r7/5K2/8/8 w - - 0 1,checkmate
8/k7/8/1K6/7p/8/6P1/8 w - - 0 1,checkmate
8/K1k5/R7/8/5p2/6p1/8/8 w - - 0 1,checkmate
8/8/8/R7/7p/2K5/6k1/8 w - - 0 1,checkmate
8/8/8/8/pN6/8/2K5/k7 w - - 0 1,checkmate
8/8/8/8/p7/K5Q1/7p/7k w - - 0 1,checkmate
8/8/8/8/8/4N2p/7k/5K2 w - - 0 1,checkmate
8/8/8/8/8/3K1kp1/8/1R6 w - - 0 1,checkmate
6k1/1R6/2r5/5PKP/8/8/8/8 w - - 0 1,checkmate
8/8/8/8/8/1r3kP1/5P2/4RK2 w - - 0 1,checkmate
